epoch10g step in cur epoch 15losstf.Tensor(0.30442095, shape=(), dtype=float32)
epoch10g step in cur epoch 16losstf.Tensor(0.51004976, shape=(), dtype=float32)
epoch10g step in cur epoch 17losstf.Tensor(0.43677545, shape=(), dtype=float32)
epoch10g step in cur epoch 18losstf.Tensor(0.41284972, shape=(), dtype=float32)
epoch10g step in cur epoch 19losstf.Tensor(0.50452244, shape=(), dtype=float32)
epoch10g step in cur epoch 20losstf.Tensor(0.6804557, shape=(), dtype=float32)
epoch10g step in cur epoch 21losstf.Tensor(0.4876922, shape=(), dtype=float32)
epoch10g step in cur epoch 22losstf.Tensor(0.6738676, shape=(), dtype=float32)
epoch10g step in cur epoch 23losstf.Tensor(0.4171768, shape=(), dtype=float32)
epoch10g step in cur epoch 24losstf.Tensor(1.1264312, shape=(), dtype=float32)
avg loss=tf.Tensor(0.52035546, shape=(), dtype=float32)
epoch11g step in cur epoch 0losstf.Tensor(0.30930102, shape=(), dtype=float32)
epoch11g step in cur epoch 1losstf.Tensor(0.6773889, shape=(), dtype=float32)
epoch11g step in cur epoch 2losstf.Tensor(0.44146344, shape=(), dtype=float32)
epoch11g step in cur epoch 3losstf.Tensor(0.47927046, shape=(), dtype=float32)
epoch11g step in cur epoch 4losstf.Tensor(0.48963204, shape=(), dtype=float32)
epoch11g step in cur epoch 5losstf.Tensor(0.5198859, shape=(), dtype=float32)
epoch11g step in cur epoch 6losstf.Tensor(0.56890774, shape=(), dtype=float32)
epoch11g step in cur epoch 7losstf.Tensor(0.5045154, shape=(), dtype=float32)
epoch11g step in cur epoch 8losstf.Tensor(0.59629357, shape=(), dtype=float32)
epoch11g step in cur epoch 9losstf.Tensor(0.4554332, shape=(), dtype=float32)
epoch11g step in cur epoch 10losstf.Tensor(0.39643756, shape=(), dtype=float32)
epoch11g step in cur epoch 11losstf.Tensor(0.5647569, shape=(), dtype=float32)
epoch11g step in cur epoch 12losstf.Tensor(0.42744017, shape=(), dtype=float32)
epoch11g step in cur epoch 13losstf.Tensor(0.5808635, shape=(), dtype=float32)
epoch11g step in cur epoch 14losstf.Tensor(0.35682118, shape=(), dtype=float32)
epoch11g step in cur epoch 15losstf.Tensor(0.5768678, shape=(), dtype=float32)
epoch11g step in cur epoch 16losstf.Tensor(0.52527094, shape=(), dtype=float32)
epoch11g step in cur epoch 17losstf.Tensor(0.3927531, shape=(), dtype=float32)
epoch11g step in cur epoch 18losstf.Tensor(0.52676237, shape=(), dtype=float32)
epoch11g step in cur epoch 19losstf.Tensor(0.68058705, shape=(), dtype=float32)
epoch11g step in cur epoch 20losstf.Tensor(0.32521743, shape=(), dtype=float32)
epoch11g step in cur epoch 21losstf.Tensor(0.54222095, shape=(), dtype=float32)
epoch11g step in cur epoch 22losstf.Tensor(0.43893188, shape=(), dtype=float32)
